================================
HittingTime Experiment Summary
T       f(T)    F(T)    |T>=25| p_i(T>=25)
0       0       0       0       0.000
1       0       0       0       0.000
2       0       0       0       0.000
3       0       0       0       0.000
4       0       0       0       0.000
5       0       0       0       0.000
6       0       0       0       0.000
7       0       0       0       0.000
8       0       0       0       0.000
9       0       0       0       0.000
10      0       0       0       0.000
11      0       0       0       0.000
12      2       2       0       0.000
13      3       5       0       0.000
14      3       8       0       0.000
15      4       12      0       0.000
16      4       16      0       0.000
17      7       23      0       0.000
18      6       29      0       0.000
19      8       37      0       0.000
20      6       43      0       0.000
21      4       47      0       0.000
22      8       55      0       0.000
23      5       60      0       0.000
24      9       69      0       0.000
25      9       78      9       0.115
26      6       84      15      0.179
27      0       84      15      0.179
28      3       87      18      0.207
29      2       89      20      0.225
30      2       91      22      0.242
31      0       91      22      0.242
32      1       92      23      0.250
33      1       93      24      0.258
34      0       93      24      0.258
35      0       93      24      0.258
36      1       94      25      0.266
37      0       94      25      0.266
38      0       94      25      0.266
39      3       97      28      0.289
40      0       97      28      0.289
41      0       97      28      0.289
42      1       98      29      0.296
43      0       98      29      0.296
44      0       98      29      0.296
45      0       98      29      0.296
46      0       98      29      0.296
47      1       99      30      0.303
48      1       100     31      0.310
